[2025-11-03 20:28:05] [error] [Teste de Sistema] View não encontrada: layouts/auth/esqueceu_senha | Detalhes: C:\xampp\htdocs\sistema_ca_jesus\app\core\Controller.php:26 | Trace: #0 C:\xampp\htdocs\sistema_ca_jesus\app\controllers\AuthController.php(99): Controller->renderView('layouts/auth/es...')
#1 C:\xampp\htdocs\sistema_ca_jesus\app\core\Router.php(73): AuthController->forgotPasswordForm()
#2 C:\xampp\htdocs\sistema_ca_jesus\public\index.php(136): Router->resolve()
#3 {main} | Contexto: {"ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/esqueci-senha"}
[2025-11-03 20:31:57] [info] [Sistema] Acesso ao Dashboard | Contexto: {"stats":{"total_produtos":14,"estoque_total":0,"movimentacoes_hoje":0},"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:31:58] [info] [Sistema] Lista de atividades recentes carregada | Contexto: {"total_atividades":0,"periodo":"últimas 24 horas","usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:31:58] [info] [Sistema] Renderização dos gráficos do Dashboard | Contexto: {"dados_graficos":{"total_movimentacoes":7,"total_marcas":14},"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:31:58] [info] [Diagnóstico] Diagnóstico do Dashboard concluído | Detalhes: Arquivo: diagnostico_dashboard_2025-11-03_20-31-58.log | Contexto: {"erros":0,"avisos":2,"tempo_execucao":1.081,"memoria_usada":0.95,"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:08] [info] [Sistema] Acesso ao Dashboard | Contexto: {"stats":{"total_produtos":14,"estoque_total":0,"movimentacoes_hoje":0},"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:09] [info] [Sistema] Lista de atividades recentes carregada | Contexto: {"total_atividades":0,"periodo":"últimas 24 horas","usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:09] [info] [Sistema] Renderização dos gráficos do Dashboard | Contexto: {"dados_graficos":{"total_movimentacoes":7,"total_marcas":14},"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:09] [info] [Diagnóstico] Diagnóstico do Dashboard concluído | Detalhes: Arquivo: diagnostico_dashboard_2025-11-03_20-32-09.log | Contexto: {"erros":0,"avisos":2,"tempo_execucao":0.8133,"memoria_usada":0.95,"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:40] [info] [Sistema] Acesso ao Dashboard | Contexto: {"stats":{"total_produtos":14,"estoque_total":0,"movimentacoes_hoje":0},"usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
[2025-11-03 20:32:41] [info] [Sistema] Lista de atividades recentes carregada | Contexto: {"total_atividades":0,"periodo":"últimas 24 horas","usuario_id":1,"usuario_nome":"Ana Souza","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/142.0.0.0 Safari\/537.36","request_uri":"\/sistema_ca_jesus\/public\/dashboard"}
